metric_id,band_name,month,total_streams,monthly_listeners,playlist_adds,social_media_followers
"195","Nuclear Winter","2023-10","333470","17551","2273","3195"
"196","Nuclear Winter","2023-11","435910","24217","2451","7436"
"197","Nuclear Winter","2023-12","425747","20273","3096","4470"
"198","Nuclear Winter","2024-01","338720","16129","2798","2303"
"199","Nuclear Winter","2024-02","388828","16201","1227","6221"
"200","Nuclear Winter","2024-03","371690","15487","1351","6814"
"201","Nuclear Winter","2024-04","440032","29335","3562","9318"
"202","Nuclear Winter","2024-05","435480","24193","5516","2395"
"203","Nuclear Winter","2024-06","391239","19561","1956","13041"
"204","Nuclear Winter","2024-07","514630","32164","4210","6518"
"205","Serpent King","2023-08","309725","20648","1077","8465"
"206","Serpent King","2023-09","362413","17257","1102","9060"
"207","Serpent King","2023-10","319710","18806","1798","1332"
"208","Serpent King","2023-11","349461","18392","1310","3931"
"209","Serpent King","2023-12","370399","21788","3314","6349"
"210","Serpent King","2024-01","323060","20191","942","5922"
"211","Serpent King","2024-02","301784","12574","1844","6412"
"212","Serpent King","2024-03","283146","12310","1651","3129"
"213","Serpent King","2024-04","317846","15892","1589","7946"
"214","Serpent King","2024-05","301468","15073","1428","7201"
"215","Serpent King","2024-06","358710","17935","1024","3964"
"216","Serpent King","2024-07","487600","22163","1706","8604"
"217","Toxic Reign","2023-08","180527","11282","1486","5190"
"218","Toxic Reign","2023-09","214836","8951","1263","2050"
"219","Toxic Reign","2023-10","213825","13364","980","2004"
"220","Toxic Reign","2023-11","185242","9749","644","1010"
"221","Toxic Reign","2023-12","213372","8890","1778","1280"
"222","Toxic Reign","2024-01","186836","9341","1376","2283"
"223","Toxic Reign","2024-02","171219","6848","733","901"
"224","Toxic Reign","2024-03","160386","10692","1523","2405"
"225","Toxic Reign","2024-04","195428","11495","1016","5319"
"226","Toxic Reign","2024-05","185230","9748","833","3788"
"227","Toxic Reign","2024-06","233907","9356","1926","7640"
"228","Toxic Reign","2024-07","269207","10768","807","4564"
"229","Lightning Bolt","2023-08","135858","6792","792","2975"
"230","Lightning Bolt","2023-09","128971","6448","1018","1065"
"231","Lightning Bolt","2023-10","142501","5937","453","2850"
"232","Lightning Bolt","2023-11","124438","5656","585","2644"
"233","Lightning Bolt","2023-12","110563","4422","1105","1013"
"234","Lightning Bolt","2024-01","118883","5944","489","2660"
"235","Lightning Bolt","2024-02","135523","7529","1355","985"
"236","Lightning Bolt","2024-03","143374","6517","896","2580"
"237","Lightning Bolt","2024-04","125020","6945","654","2812"
"238","Lightning Bolt","2024-05","118613","5648","790","741"
"239","Lightning Bolt","2024-06","135583","7532","1084","1977"
"240","Lightning Bolt","2024-07","170198","10637","1405","2502"
"241","Ancient Curse","2023-08","514982","25749","1931","9681"
"242","Ancient Curse","2023-09","476114","25058","1523","6348"
"243","Ancient Curse","2023-10","484922","30307","3879","9455"
"244","Ancient Curse","2023-11","512188","26957","3278","11381"
"245","Ancient Curse","2023-12","447896","26346","3545","8744"
"246","Ancient Curse","2024-01","541472","21658","2165","7062"
"247","Ancient Curse","2024-02","444517","22225","2667","5859"
"248","Ancient Curse","2024-03","503218","25160","4313","7548"
"249","Ancient Curse","2024-04","546492","36432","6429","6903"
"250","Ancient Curse","2024-05","474258","20619","3952","12449"
"251","Ancient Curse","2024-06","642121","29187","5545","13518"
"252","Ancient Curse","2024-07","669223","41826","3903","13778"
"253","Phantom Lord","2023-08","243418","13523","1318","2963"
"254","Phantom Lord","2023-09","195930","8518","1192","4003"
"255","Phantom Lord","2023-10","215039","12649","1331","1971"
"256","Phantom Lord","2023-11","242370","9694","1053","5987"
"257","Phantom Lord","2023-12","244728","14395","1767","3059"
"258","Phantom Lord","2024-01","242514","16167","1212","6952"
"259","Phantom Lord","2024-02","220313","12959","1591","1652"
"260","Phantom Lord","2024-03","231367","11017","1735","964"
"261","Phantom Lord","2024-04","197932","12370","1402","3864"
"262","Phantom Lord","2024-05","221149","11057","1769","4644"
"263","Phantom Lord","2024-06","234786","11739","2027","1118"
"264","Phantom Lord","2024-07","260343","14463","1249","3288"
"265","Burning Skies","2023-08","127942","5330","673","1791"
"266","Burning Skies","2023-09","152721","8484","381","1527"
"267","Burning Skies","2023-10","130632","5937","272","2177"
"268","Burning Skies","2023-11","152255","9515","761","1607"
"269","Burning Skies","2023-12","118799","7919","712","2313"
"270","Burning Skies","2024-01","117964","4915","638","2217"
"271","Burning Skies","2024-02","123642","8242","1236","860"
"272","Burning Skies","2024-03","141834","5909","397","866"
"273","Burning Skies","2024-04","134984","5624","821","1940"
"274","Burning Skies","2024-05","133204","7835","555","2497"
"275","Burning Skies","2024-06","163602","6816","995","2677"
"276","Burning Skies","2024-07","194949","10830","1578","3411"
"277","Crystal Tears","2023-08","464995","22142","2789","12141"
"278","Crystal Tears","2023-09","436469","22972","3394","7737"
"279","Crystal Tears","2023-10","461901","28868","3260","8994"
"280","Crystal Tears","2023-11","480390","26688","3602","10172"
"281","Crystal Tears","2023-12","421350","18319","2478","7110"
"282","Crystal Tears","2024-01","468181","22294","3745","8537"
"283","Crystal Tears","2024-02","441696","20077","5005","2120"
"284","Crystal Tears","2024-03","394303","15772","3943","3285"
"285","Crystal Tears","2024-04","388616","16896","3210","5586"
"286","Crystal Tears","2024-05","455476","18219","3131","4075"
"287","Crystal Tears","2024-06","515450","27128","5798","10543"
"288","Crystal Tears","2024-07","628667","34925","3841","4490"
"289","Dragon Force","2023-08","314250","19640","3142","1964"
"290","Dragon Force","2023-09","343371","19076","1373","8079"
"291","Dragon Force","2023-10","359772","14990","1514","4905"
"292","Dragon Force","2023-11","329904","16495","2611","6048"
"293","Dragon Force","2023-12","377882","19888","4487","2099"
"294","Dragon Force","2024-01","385378","15415","2040","5587"
"295","Dragon Force","2024-02","380250","15843","3306","4629"
"296","Dragon Force","2024-03","377649","20980","1208","4174"
"297","Dragon Force","2024-04","352941","14705","3333","1976"
"298","Dragon Force","2024-05","347388","15790","3656","8511"
"299","Dragon Force","2024-06","420310","22121","2568","8756"
"300","Dragon Force","2024-07","493289","21447","4289","4316"
"301","Eclipse Rising","2023-08","22907","954","119","386"
"302","Eclipse Rising","2023-09","19823","1321","198","327"
"303","Eclipse Rising","2023-10","21370","854","145","308"
"304","Eclipse Rising","2023-11","23158","926","231","324"
"305","Eclipse Rising","2023-12","18828","1046","94","90"
"306","Eclipse Rising","2024-01","21013","840","210","327"
"307","Eclipse Rising","2024-02","20270","1066","214","281"
"308","Eclipse Rising","2024-03","22657","1332","251","184"
"309","Eclipse Rising","2024-04","22754","1137","130","151"
"310","Eclipse Rising","2024-05","21081","916","281","276"
"311","Eclipse Rising","2024-06","22585","903","239","406"
"312","Eclipse Rising","2024-07","31067","1350","144","251"
"313","Fallen Angels","2023-08","39938","2102","290","299"
"314","Fallen Angels","2023-09","45673","1826","373","456"
"315","Fallen Angels","2023-10","42088","2630","219","946"
"316","Fallen Angels","2023-11","39216","2306","124","843"
"317","Fallen Angels","2023-12","47766","2388","282","1313"
"318","Fallen Angels","2024-01","40628","2389","454","876"
"319","Fallen Angels","2024-02","48902","2222","397","293"
"320","Fallen Angels","2024-03","49169","2892","549","670"
"321","Fallen Angels","2024-04","43218","2701","252","375"
"322","Fallen Angels","2024-05","48945","2719","259","1048"
"323","Fallen Angels","2024-06","45712","1987","288","1244"
"324","Fallen Angels","2024-07","60910","3806","551","1691"
"325","Ghost Legion","2023-08","25686","1027","342","330"
"326","Ghost Legion","2023-09","29322","1954","293","173"
"327","Ghost Legion","2023-10","33739","1984","112","281"
"328","Ghost Legion","2023-11","32102","1888","321","706"
"329","Ghost Legion","2023-12","26756","1216","101","438"
"330","Ghost Legion","2024-01","28252","1345","207","295"
"331","Ghost Legion","2024-02","29368","1727","185","146"
"332","Ghost Legion","2024-03","27128","1595","129","886"
"333","Ghost Legion","2024-04","32764","2047","385","275"
"334","Ghost Legion","2024-05","30393","1599","255","607"
"335","Ghost Legion","2024-06","35333","2078","255","155"
"336","Ghost Legion","2024-07","35972","2398","407","919"
"337","Hellfire","2023-08","27107","1694","129","632"
"338","Hellfire","2023-09","34999","1590","136","514"
"339","Hellfire","2023-10","29193","1717","139","486"
"340","Hellfire","2023-11","29638","1234","225","476"
"341","Hellfire","2023-12","31126","2075","192","458"
"342","Hellfire","2024-01","33988","2265","216","599"
"343","Hellfire","2024-02","30486","1793","266","362"
"344","Hellfire","2024-03","26501","1261","237","481"
"345","Hellfire","2024-04","27548","1836","210","513"
"346","Hellfire","2024-05","31467","1498","65","414"
"347","Hellfire","2024-06","37493","1704","441","309"
"348","Hellfire","2024-07","42528","2658","250","270"
"349","Ice Queen","2023-08","48888","2716","209","611"
"350","Ice Queen","2023-09","47782","1990","273","768"
"351","Ice Queen","2023-10","47789","2811","452","454"
"352","Ice Queen","2023-11","53454","3144","593","1138"
"353","Ice Queen","2023-12","46095","3073","100","1075"
"354","Ice Queen","2024-01","47832","2277","402","894"
"355","Ice Queen","2024-02","48004","2182","277","1242"
"356","Ice Queen","2024-03","53608","3350","167","446"
"357","Ice Queen","2024-04","49517","1980","117","415"
"358","Ice Queen","2024-05","50011","2000","529","343"
"359","Ice Queen","2024-06","61273","3404","191","466"
"360","Ice Queen","2024-07","72601","4840","464","1048"
"361","Judas Crown","2023-08","109926","4580","621","2198"
"362","Judas Crown","2023-09","100299","4360","710","1083"
"363","Judas Crown","2023-10","101663","4235","884","1299"
"364","Judas Crown","2023-11","97362","5124","311","1439"
"365","Judas Crown","2023-12","105913","5884","838","466"
"366","Judas Crown","2024-01","102279","4870","738","1022"
"367","Judas Crown","2024-02","111462","4458","401","2368"
"368","Judas Crown","2024-03","85337","3710","597","803"
"369","Judas Crown","2024-04","84553","5284","1014","1691"
"370","Judas Crown","2024-05","108443","4337","942","2168"
"371","Judas Crown","2024-06","96658","6041","351","1804"
"372","Judas Crown","2024-07","149264","7856","648","3109"
"373","Kill Switch","2023-08","30760","1464","291","430"
"374","Kill Switch","2023-09","32875","1315","82","630"
"375","Kill Switch","2023-10","30651","1613","306","354"
"376","Kill Switch","2023-11","28527","1426","216","155"
"377","Kill Switch","2023-12","27182","1510","322","236"
"378","Kill Switch","2024-01","31317","1423","197","231"
"379","Kill Switch","2024-02","33151","2210","287","364"
"380","Kill Switch","2024-03","30023","1667","204","655"
"381","Kill Switch","2024-04","25603","1506","96","440"
"382","Kill Switch","2024-05","34082","1622","170","319"
"383","Kill Switch","2024-06","37930","2528","237","216"
"384","Kill Switch","2024-07","46373","2016","463","283"
"385","Legion of Doom","2023-08","46163","2198","369","549"
"386","Legion of Doom","2023-09","46759","2226","280","779"
"387","Legion of Doom","2023-10","51233","2846","289","997"
"388","Legion of Doom","2023-11","55165","2758","459","1482"
"389","Legion of Doom","2023-12","49104","2046","144","1328"
"390","Legion of Doom","2024-01","50794","2031","564","1456"
"391","Legion of Doom","2024-02","57073","2717","494","730"
"392","Legion of Doom","2024-03","45733","2540","216","1158"
"393","Legion of Doom","2024-04","49750","3109","139","756"
"394","Legion of Doom","2024-05","56458","2454","451","887"
"395","Legion of Doom","2024-06","62807","2616","330","872"
"396","Legion of Doom","2024-07","77943","3897","311","1364"
"397","Midnight Rider","2023-08","60375","3773","603","855"
"398","Midnight Rider","2023-09","65324","4082","163","1115"
"399","Midnight Rider","2023-10","70737","4161","670","1120"
"400","Midnight Rider","2023-11","60322","2872","569","1180"
"401","Midnight Rider","2023-12","71767","4485","574","913"
"402","Midnight Rider","2024-01","69339","2889","512","774"
"403","Midnight Rider","2024-02","70328","3516","289","575"
"404","Midnight Rider","2024-03","68957","2758","172","1342"
"405","Midnight Rider","2024-04","66649","3507","526","666"
"406","Midnight Rider","2024-05","79579","4421","644","871"
"407","Midnight Rider","2024-06","83816","3991","512","419"
"408","Midnight Rider","2024-07","85863","4088","858","524"
"409","Night Terror","2023-08","87959","5497","830","1125"
"410","Night Terror","2023-09","87110","3959","816","514"
"411","Night Terror","2023-10","74262","2970","480","1343"
"412","Night Terror","2023-11","79759","5317","631","2093"
"413","Night Terror","2023-12","73840","3210","923","1358"
"414","Night Terror","2024-01","81921","4311","641","1940"
"415","Night Terror","2024-02","77236","3089","726","853"
"416","Night Terror","2024-03","80750","4037","646","1659"
"417","Night Terror","2024-04","77234","5148","401","1788"
"418","Night Terror","2024-05","85680","4080","321","1124"
"419","Night Terror","2024-06","92926","4646","767","1040"
"420","Night Terror","2024-07","101472","6342","730","2283"
"421","Oblivion","2023-08","42296","2819","225","613"
"422","Oblivion","2023-09","40140","2508","80","464"
"423","Oblivion","2023-10","40791","1942","171","294"
"424","Oblivion","2023-11","48246","2838","96","1362"
"425","Oblivion","2023-12","40320","2016","226","664"
"426","Oblivion","2024-01","46660","2744","349","783"
"427","Oblivion","2024-02","44387","1929","212","1122"
"428","Oblivion","2024-03","43408","1973","379","731"
"429","Oblivion","2024-04","42422","1696","178","565"
"430","Oblivion","2024-05","43773","1903","228","984"
"431","Oblivion","2024-06","55461","2919","321","244"
"432","Oblivion","2024-07","66396","4426","345","507"
"433","Pain Dealer","2023-08","50600","3162","263","534"
"434","Pain Dealer","2023-09","41597","1890","226","661"
"435","Pain Dealer","2023-10","47565","2503","228","751"
"436","Pain Dealer","2023-11","53381","2809","177","1194"
"437","Pain Dealer","2023-12","52306","2905","584","1004"
"438","Pain Dealer","2024-01","41788","1671","325","688"
"439","Pain Dealer","2024-02","43985","2587","439","707"
"440","Pain Dealer","2024-03","45431","2065","320","1256"
"441","Pain Dealer","2024-04","54330","2716","472","1412"
"442","Pain Dealer","2024-05","45788","2543","293","567"
"443","Pain Dealer","2024-06","56291","3127","250","592"
"444","Pain Dealer","2024-07","78261","3557","554","1667"
"445","Quantum Rift","2023-08","52644","2770","166","869"
"446","Quantum Rift","2023-09","50366","2518","167","613"
"447","Quantum Rift","2023-10","57170","3176","357","1679"
"448","Quantum Rift","2023-11","55932","2237","460","1223"
"449","Quantum Rift","2023-12","55174","3065","289","335"
"450","Quantum Rift","2024-01","59113","2814","483","558"
"451","Quantum Rift","2024-02","59091","3110","510","393"
"452","Quantum Rift","2024-03","51799","2589","427","712"
"453","Quantum Rift","2024-04","52897","2938","560","634"
"454","Quantum Rift","2024-05","58500","2925","203","936"
"455","Quantum Rift","2024-06","58598","2790","462","865"
"456","Quantum Rift","2024-07","84879","3536","664","1350"
"457","Razorback","2023-08","89425","4968","298","1907"
"458","Razorback","2023-09","70340","4689","351","468"
"459","Razorback","2023-10","71953","3597","431","519"
"460","Razorback","2023-11","84413","3517","1069","1635"
"461","Razorback","2023-12","78858","3154","946","670"
"462","Razorback","2024-01","78910","5260","986","720"
"463","Razorback","2024-02","81845","4814","477","603"
"464","Razorback","2024-03","79213","3168","633","1584"
"465","Razorback","2024-04","85534","3421","684","704"
"466","Razorback","2024-05","82067","5471","535","1123"
"467","Razorback","2024-06","84121","5608","885","1435"
"468","Razorback","2024-07","115192","4607","614","1047"
"469","Storm Bringer","2023-08","38683","2578","180","605"
"470","Storm Bringer","2023-09","42169","2480","84","869"
"471","Storm Bringer","2023-10","37850","2523","399","757"
"472","Storm Bringer","2023-11","49824","2622","135","473"
"473","Storm Bringer","2023-12","41128","1713","117","616"
"474","Storm Bringer","2024-01","49097","2454","519","959"
"475","Storm Bringer","2024-02","50486","2103","436","757"
"476","Storm Bringer","2024-03","37751","1797","211","449"
"477","Storm Bringer","2024-04","40442","1838","454","361"
"478","Storm Bringer","2024-05","48420","2200","258","968"
"479","Storm Bringer","2024-06","58411","3245","338","700"
"480","Storm Bringer","2024-07","69110","4319","164","497"
"481","Thunder God","2023-08","68328","3105","442","1406"
"482","Thunder God","2023-09","61062","3591","132","436"
"483","Thunder God","2023-10","63542","3025","279","1298"
"484","Thunder God","2023-11","68110","3243","480","653"
"485","Thunder God","2023-12","66882","4180","579","414"
"486","Thunder God","2024-01","65110","3426","274","995"
"487","Thunder God","2024-02","67804","2825","321","884"
"488","Thunder God","2024-03","65041","4065","384","569"
"489","Thunder God","2024-04","73423","3337","550","381"
"490","Thunder God","2024-05","62556","3292","225","1137"
"491","Thunder God","2024-06","81145","5071","378","859"
"492","Thunder God","2024-07","101581","4232","650","1625"
"493","Unleashed Fury","2023-08","48721","3045","487","714"
"494","Unleashed Fury","2023-09","44915","1952","449","524"
"495","Unleashed Fury","2023-10","52779","2638","322","738"
"496","Unleashed Fury","2023-11","49574","2609","495","320"
"497","Unleashed Fury","2023-12","46451","2111","440","687"
