transaction_id,customer_id,vendor_type,vendor_name,product_category,amount,transaction_datetime,day
"TXN00000093","CUST020503","Food & Beverage","Headbang Burgers","Tacos","12","2024-07-19 02:48:09","2024-07-19"
"TXN00000094","CUST018642","Merchandise","Headbanger Heaven","Patch","10","2024-07-19 18:16:26","2024-07-20"
"TXN00000095","CUST015960","Food & Beverage","Liquid Courage Bar","Hot Dog","8","2024-07-21 03:33:48","2024-07-21"
"TXN00000096","CUST012814","Food & Beverage","Stage Dive Pizza","Burger","16","2024-07-18 21:02:19","2024-07-19"
"TXN00000097","CUST001226","Food & Beverage","Metal Munchies","Pizza Slice","8","2024-07-19 20:16:05","2024-07-20"
"TXN00000098","CUST010810","Food & Beverage","Liquid Courage Bar","Water","5","2024-07-18 20:28:39","2024-07-19"
"TXN00000099","CUST017834","Food & Beverage","Thrash Tacos","Beer","14","2024-07-19 22:59:43","2024-07-20"
"TXN00000100","CUST029585","Food & Beverage","Headbang Burgers","Burger","12","2024-07-19 19:51:42","2024-07-20"
"TXN00000101","CUST020932","Food & Beverage","Thrash Tacos","Pizza Slice","6","2024-07-18 19:04:52","2024-07-19"
"TXN00000102","CUST000192","Food & Beverage","Headbang Burgers","Energy Drink","8","2024-07-19 19:01:46","2024-07-20"
"TXN00000103","CUST017499","Food & Beverage","Doom Dogs","Hot Dog","8","2024-07-19 23:14:17","2024-07-20"
"TXN00000104","CUST026958","Food & Beverage","Liquid Courage Bar","Pizza Slice","6","2024-07-20 00:42:19","2024-07-20"
"TXN00000105","CUST028718","Food & Beverage","Headbang Burgers","Soda","6","2024-07-19 21:42:26","2024-07-20"
"TXN00000106","CUST029987","Merchandise","Skull & Bones Co","Flag/Banner","40","2024-07-20 18:30:59","2024-07-21"
"TXN00000107","CUST024554","Food & Beverage","Metal Munchies","Energy Drink","7","2024-07-21 02:27:01","2024-07-21"
"TXN00000108","CUST005446","Food & Beverage","Heavy Metal BBQ","Water","4","2024-07-19 00:55:07","2024-07-19"
"TXN00000109","CUST023129","Merchandise","Blackened Apparel","CD","12","2024-07-21 00:25:40","2024-07-21"
"TXN00000110","CUST013378","Food & Beverage","Heavy Metal BBQ","Pizza Slice","6","2024-07-18 18:23:27","2024-07-19"
"TXN00000111","CUST015526","Food & Beverage","Stage Dive Pizza","Burger","16","2024-07-19 20:19:02","2024-07-20"
"TXN00000112","CUST000572","Merchandise","Metal Mayhem Merch","T-Shirt","30","2024-07-20 19:21:22","2024-07-21"
"TXN00000113","CUST012311","Food & Beverage","Heavy Metal BBQ","Water","4","2024-07-19 23:16:26","2024-07-20"
"TXN00000114","CUST001734","Food & Beverage","Doom Dogs","Pizza Slice","8","2024-07-19 20:53:28","2024-07-20"
"TXN00000115","CUST029311","Food & Beverage","Thrash Tacos","BBQ Plate","18","2024-07-18 18:30:39","2024-07-19"
"TXN00000116","CUST020193","Merchandise","Headbanger Heaven","T-Shirt","35","2024-07-20 02:37:16","2024-07-20"
"TXN00000117","CUST017415","Food & Beverage","Heavy Metal BBQ","Hot Dog","10","2024-07-19 00:41:25","2024-07-19"
"TXN00000118","CUST010963","Merchandise","Skull & Bones Co","Patch","8","2024-07-19 01:03:57","2024-07-19"
"TXN00000119","CUST003788","Food & Beverage","Riff Refreshments","Water","5","2024-07-19 16:07:04","2024-07-20"
"TXN00000120","CUST013214","Food & Beverage","Headbang Burgers","Fries","8","2024-07-18 20:39:45","2024-07-19"
"TXN00000121","CUST028212","Food & Beverage","Headbang Burgers","Beer","14","2024-07-19 17:14:36","2024-07-20"
"TXN00000122","CUST015036","Merchandise","Headbanger Heaven","Hoodie","50","2024-07-20 18:51:30","2024-07-21"
"TXN00000123","CUST015377","Food & Beverage","Doom Dogs","Pizza Slice","8","2024-07-19 00:35:10","2024-07-19"
"TXN00000124","CUST010494","Merchandise","Skull & Bones Co","Flag/Banner","40","2024-07-20 03:00:16","2024-07-20"
"TXN00000125","CUST000417","Merchandise","Metal Mayhem Merch","T-Shirt","35","2024-07-19 22:50:32","2024-07-20"
"TXN00000126","CUST005366","Food & Beverage","Liquid Courage Bar","BBQ Plate","18","2024-07-20 02:25:15","2024-07-20"
"TXN00000127","CUST007248","Food & Beverage","Metal Munchies","Beer","12","2024-07-19 17:50:28","2024-07-20"
"TXN00000128","CUST027125","Food & Beverage","Heavy Metal BBQ","BBQ Plate","20","2024-07-19 00:22:44","2024-07-19"
"TXN00000129","CUST019736","Merchandise","Riff Raff Gear","Hat/Cap","25","2024-07-21 00:20:24","2024-07-21"
"TXN00000130","CUST012147","Merchandise","Metal Mayhem Merch","Poster","20","2024-07-19 16:20:48","2024-07-20"
"TXN00000131","CUST007342","Merchandise","Headbanger Heaven","CD","15","2024-07-21 02:27:00","2024-07-21"
"TXN00000132","CUST010094","Food & Beverage","Metal Munchies","Water","4","2024-07-21 03:08:25","2024-07-21"
"TXN00000133","CUST011252","Food & Beverage","Riff Refreshments","Tacos","10","2024-07-18 17:53:38","2024-07-19"
"TXN00000134","CUST029715","Food & Beverage","Riff Refreshments","Soda","6","2024-07-19 03:42:28","2024-07-19"
"TXN00000135","CUST029876","Food & Beverage","Liquid Courage Bar","Hot Dog","10","2024-07-21 02:06:50","2024-07-21"
"TXN00000136","CUST004257","Merchandise","Blackened Apparel","Hoodie","70","2024-07-19 01:39:17","2024-07-19"
"TXN00000137","CUST009387","Merchandise","Blackened Apparel","Hat/Cap","20","2024-07-18 22:06:42","2024-07-19"
"TXN00000138","CUST005140","Merchandise","Riff Raff Gear","Hat/Cap","25","2024-07-19 18:05:06","2024-07-20"
"TXN00000139","CUST014650","Merchandise","Headbanger Heaven","Vinyl Record","25","2024-07-20 20:49:32","2024-07-21"
"TXN00000140","CUST019099","Merchandise","Riff Raff Gear","Hoodie","50","2024-07-19 19:21:06","2024-07-20"
"TXN00000141","CUST000957","Food & Beverage","Liquid Courage Bar","Tacos","10","2024-07-20 01:23:08","2024-07-20"
"TXN00000142","CUST022039","Food & Beverage","Riff Refreshments","Fries","6","2024-07-19 02:05:10","2024-07-19"
"TXN00000143","CUST008600","Food & Beverage","Heavy Metal BBQ","Hot Dog","10","2024-07-20 22:52:43","2024-07-21"
"TXN00000144","CUST010011","Merchandise","Metal Mayhem Merch","Poster","25","2024-07-19 21:29:17","2024-07-20"
"TXN00000145","CUST019615","Food & Beverage","Stage Dive Pizza","Beer","12","2024-07-20 02:12:09","2024-07-20"
"TXN00000146","CUST001163","Merchandise","Blackened Apparel","Hat/Cap","20","2024-07-19 00:17:28","2024-07-19"
"TXN00000147","CUST004194","Food & Beverage","Thrash Tacos","Soda","6","2024-07-19 00:12:50","2024-07-19"
"TXN00000148","CUST001156","Food & Beverage","Headbang Burgers","Burger","12","2024-07-19 00:56:19","2024-07-19"
"TXN00000149","CUST016266","Food & Beverage","Metal Munchies","Energy Drink","6","2024-07-19 02:18:03","2024-07-19"
"TXN00000150","CUST001005","Food & Beverage","Headbang Burgers","Beer","14","2024-07-20 23:57:09","2024-07-21"
"TXN00000151","CUST021384","Merchandise","Skull & Bones Co","Poster","20","2024-07-18 17:51:56","2024-07-19"
"TXN00000152","CUST015273","Merchandise","Skull & Bones Co","Flag/Banner","30","2024-07-19 16:19:32","2024-07-20"
"TXN00000153","CUST003968","Food & Beverage","Heavy Metal BBQ","Tacos","14","2024-07-20 01:57:10","2024-07-20"
"TXN00000154","CUST013517","Merchandise","Metal Mayhem Merch","T-Shirt","30","2024-07-20 17:01:11","2024-07-21"
"TXN00000155","CUST007962","Food & Beverage","Riff Refreshments","Energy Drink","8","2024-07-19 18:27:41","2024-07-20"
"TXN00000156","CUST000879","Merchandise","Blackened Apparel","Hoodie","50","2024-07-18 23:19:30","2024-07-19"
"TXN00000157","CUST024094","Food & Beverage","Doom Dogs","Soda","6","2024-07-18 22:01:40","2024-07-19"
"TXN00000158","CUST029856","Merchandise","Metal Mayhem Merch","Hoodie","70","2024-07-20 21:11:54","2024-07-21"
"TXN00000159","CUST011491","Food & Beverage","Heavy Metal BBQ","Energy Drink","8","2024-07-18 20:40:35","2024-07-19"
"TXN00000160","CUST018522","Food & Beverage","Headbang Burgers","Pizza Slice","8","2024-07-18 23:47:07","2024-07-19"
"TXN00000161","CUST005741","Food & Beverage","Doom Dogs","Energy Drink","7","2024-07-18 23:11:52","2024-07-19"
"TXN00000162","CUST029505","Merchandise","Skull & Bones Co","Poster","15","2024-07-20 17:12:34","2024-07-21"
"TXN00000163","CUST016806","Food & Beverage","Metal Munchies","Burger","14","2024-07-19 23:32:59","2024-07-20"
"TXN00000164","CUST008431","Merchandise","Blackened Apparel","Patch","12","2024-07-20 23:06:35","2024-07-21"
"TXN00000165","CUST020669","Food & Beverage","Thrash Tacos","Tacos","14","2024-07-20 22:53:29","2024-07-21"
"TXN00000166","CUST015804","Food & Beverage","Riff Refreshments","Hot Dog","10","2024-07-21 02:49:11","2024-07-21"
"TXN00000167","CUST010113","Food & Beverage","Metal Munchies","Energy Drink","8","2024-07-19 21:54:21","2024-07-20"
"TXN00000168","CUST002481","Food & Beverage","Liquid Courage Bar","Hot Dog","10","2024-07-20 03:28:55","2024-07-20"
"TXN00000169","CUST023700","Merchandise","Blackened Apparel","T-Shirt","25","2024-07-21 00:13:34","2024-07-21"
"TXN00000170","CUST011214","Food & Beverage","Metal Munchies","Burger","14","2024-07-19 00:13:16","2024-07-19"
"TXN00000171","CUST002338","Food & Beverage","Riff Refreshments","Water","4","2024-07-20 16:14:25","2024-07-21"
"TXN00000172","CUST011340","Merchandise","Blackened Apparel","CD","18","2024-07-19 19:20:12","2024-07-20"
"TXN00000173","CUST007136","Food & Beverage","Riff Refreshments","BBQ Plate","15","2024-07-19 03:46:30","2024-07-19"
"TXN00000174","CUST000972","Food & Beverage","Thrash Tacos","Soda","6","2024-07-18 23:38:48","2024-07-19"
"TXN00000175","CUST003684","Merchandise","Blackened Apparel","Flag/Banner","30","2024-07-21 03:54:54","2024-07-21"
"TXN00000176","CUST029305","Merchandise","Blackened Apparel","Hat/Cap","30","2024-07-20 02:04:57","2024-07-20"
"TXN00000177","CUST003218","Food & Beverage","Doom Dogs","Fries","6","2024-07-19 18:39:20","2024-07-20"
"TXN00000178","CUST027780","Merchandise","Metal Mayhem Merch","Hoodie","70","2024-07-20 23:10:33","2024-07-21"
"TXN00000179","CUST024243","Merchandise","Skull & Bones Co","Vinyl Record","30","2024-07-19 18:43:50","2024-07-20"
"TXN00000180","CUST007258","Merchandise","Metal Mayhem Merch","Hoodie","60","2024-07-20 03:01:36","2024-07-20"
"TXN00000181","CUST022586","Food & Beverage","Riff Refreshments","Water","5","2024-07-21 00:01:40","2024-07-21"
"TXN00000182","CUST004827","Food & Beverage","Riff Refreshments","Soda","6","2024-07-18 23:48:46","2024-07-19"
"TXN00000183","CUST003966","Merchandise","Blackened Apparel","T-Shirt","30","2024-07-20 18:37:43","2024-07-21"
"TXN00000184","CUST022558","Food & Beverage","Heavy Metal BBQ","BBQ Plate","15","2024-07-19 16:40:07","2024-07-20"
"TXN00000185","CUST013522","Merchandise","Blackened Apparel","Poster","20","2024-07-19 00:39:41","2024-07-19"
"TXN00000186","CUST011138","Food & Beverage","Riff Refreshments","Hot Dog","10","2024-07-18 17:50:52","2024-07-19"
"TXN00000187","CUST009578","Merchandise","Skull & Bones Co","Patch","10","2024-07-20 01:27:05","2024-07-20"
"TXN00000188","CUST024966","Food & Beverage","Doom Dogs","Hot Dog","10","2024-07-18 20:23:33","2024-07-19"
"TXN00000189","CUST012107","Merchandise","Riff Raff Gear","CD","18","2024-07-21 02:58:49","2024-07-21"
"TXN00000190","CUST003519","Food & Beverage","Thrash Tacos","Pizza Slice","8","2024-07-20 21:46:38","2024-07-21"
"TXN00000191","CUST001890","Food & Beverage","Headbang Burgers","BBQ Plate","18","2024-07-20 01:13:10","2024-07-20"
"TXN00000192","CUST027502","Food & Beverage","Liquid Courage Bar","Burger","14","2024-07-19 19:35:36","2024-07-20"
"TXN00000193","CUST014330","Merchandise","Metal Mayhem Merch","Vinyl Record","30","2024-07-19 21:52:46","2024-07-20"
"TXN00000194","CUST020565","Food & Beverage","Riff Refreshments","Soda","6","2024-07-20 00:29:52","2024-07-20"
"TXN00000195","CUST009273","Food & Beverage","Headbang Burgers","Water","4","2024-07-20 00:26:25","2024-07-20"
"TXN00000196","CUST019285","Food & Beverage","Headbang Burgers","Soda","6","2024-07-18 16:21:36","2024-07-19"
"TXN00000197","CUST022408","Food & Beverage","Metal Munchies","Tacos","12","2024-07-19 23:29:05","2024-07-20"
"TXN00000198","CUST001891","Food & Beverage","Headbang Burgers","Beer","14","2024-07-18 19:08:58","2024-07-19"
"TXN00000199","CUST012954","Merchandise","Riff Raff Gear","Patch","10","2024-07-20 19:43:55","2024-07-21"
"TXN00000200","CUST009441","Food & Beverage","Riff Refreshments","Pizza Slice","6","2024-07-20 18:51:03","2024-07-21"
"TXN00000201","CUST023432","Food & Beverage","Heavy Metal BBQ","Fries","8","2024-07-19 21:37:49","2024-07-20"
"TXN00000202","CUST000356","Merchandise","Metal Mayhem Merch","Patch","10","2024-07-19 00:52:27","2024-07-19"
"TXN00000203","CUST006322","Food & Beverage","Thrash Tacos","Beer","10","2024-07-19 03:01:15","2024-07-19"
"TXN00000204","CUST008000","Merchandise","Metal Mayhem Merch","Hoodie","60","2024-07-19 20:46:20","2024-07-20"
"TXN00000205","CUST014105","Merchandise","Riff Raff Gear","CD","12","2024-07-19 22:01:08","2024-07-20"
"TXN00000206","CUST026092","Food & Beverage","Riff Refreshments","Tacos","10","2024-07-19 19:28:07","2024-07-20"
"TXN00000207","CUST021765","Food & Beverage","Doom Dogs","Energy Drink","8","2024-07-20 22:44:55","2024-07-21"
"TXN00000208","CUST021932","Food & Beverage","Heavy Metal BBQ","Beer","12","2024-07-19 03:30:42","2024-07-19"
"TXN00000209","CUST018858","Merchandise","Headbanger Heaven","Vinyl Record","40","2024-07-18 18:05:00","2024-07-19"
"TXN00000210","CUST017250","Food & Beverage","Stage Dive Pizza","Water","4","2024-07-18 23:02:45","2024-07-19"
"TXN00000211","CUST022346","Merchandise","Skull & Bones Co","Hat/Cap","30","2024-07-18 23:07:59","2024-07-19"
"TXN00000212","CUST026470","Merchandise","Metal Mayhem Merch","Hat/Cap","25","2024-07-21 03:17:06","2024-07-21"
"TXN00000213","CUST014200","Merchandise","Blackened Apparel","Hat/Cap","30","2024-07-20 20:57:51","2024-07-21"
"TXN00000214","CUST029115","Food & Beverage","Thrash Tacos","Hot Dog","10","2024-07-18 17:43:19","2024-07-19"
"TXN00000215","CUST021064","Merchandise","Riff Raff Gear","T-Shirt","35","2024-07-20 19:11:24","2024-07-21"
"TXN00000216","CUST004556","Merchandise","Headbanger Heaven","CD","12","2024-07-20 17:24:26","2024-07-21"
"TXN00000217","CUST001137","Merchandise","Headbanger Heaven","Poster","20","2024-07-18 19:56:21","2024-07-19"
"TXN00000218","CUST018565","Merchandise","Metal Mayhem Merch","Patch","12","2024-07-18 23:16:21","2024-07-19"
"TXN00000219","CUST027070","Food & Beverage","Thrash Tacos","Energy Drink","7","2024-07-19 17:49:39","2024-07-20"
"TXN00000220","CUST025773","Merchandise","Blackened Apparel","Hoodie","70","2024-07-20 00:56:35","2024-07-20"
"TXN00000221","CUST006967","Food & Beverage","Doom Dogs","BBQ Plate","20","2024-07-19 16:26:34","2024-07-20"
"TXN00000222","CUST020001","Merchandise","Metal Mayhem Merch","Patch","10","2024-07-20 18:44:58","2024-07-21"
"TXN00000223","CUST008958","Food & Beverage","Stage Dive Pizza","Energy Drink","7","2024-07-19 23:16:18","2024-07-20"
"TXN00000224","CUST006733","Merchandise","Headbanger Heaven","Hoodie","70","2024-07-20 22:36:56","2024-07-21"
"TXN00000225","CUST003999","Merchandise","Skull & Bones Co","Hat/Cap","20","2024-07-18 23:27:37","2024-07-19"
"TXN00000226","CUST007851","Food & Beverage","Headbang Burgers","Beer","10","2024-07-18 22:44:58","2024-07-19"
"TXN00000227","CUST005639","Food & Beverage","Headbang Burgers","Hot Dog","8","2024-07-20 20:31:40","2024-07-21"
"TXN00000228","CUST026436","Food & Beverage","Headbang Burgers","Energy Drink","6","2024-07-20 16:15:17","2024-07-21"
"TXN00000229","CUST018868","Merchandise","Blackened Apparel","T-Shirt","30","2024-07-20 17:24:36","2024-07-21"
"TXN00000230","CUST020799","Food & Beverage","Headbang Burgers","Soda","6","2024-07-19 20:12:59","2024-07-20"
"TXN00000231","CUST000795","Merchandise","Skull & Bones Co","Poster","20","2024-07-18 23:45:13","2024-07-19"
"TXN00000232","CUST020246","Merchandise","Metal Mayhem Merch","CD","18","2024-07-19 01:54:47","2024-07-19"
"TXN00000233","CUST021425","Food & Beverage","Metal Munchies","Energy Drink","6","2024-07-19 00:18:52","2024-07-19"
"TXN00000234","CUST016327","Food & Beverage","Thrash Tacos","Water","5","2024-07-18 16:44:47","2024-07-19"
