customer_id,age_group,gender,state,country,distance_traveled_miles,previous_attendance,purchase_platform
"CUST000148","25-34","Prefer not to say","NY","USA","261","Second Time","SeatGeek"
"CUST000149","18-24","Male","PA","USA","19","First Time","SeatGeek"
"CUST000150","25-34","Male","NJ","USA","189","First Time","Dice"
"CUST000151","35-44","Prefer not to say","MA","USA","363","First Time","StubHub"
"CUST000152","25-34","Prefer not to say","TX","USA","1622","First Time","StubHub"
"CUST000153","35-44","Prefer not to say","DE","USA","192","Returning (3+)","Dice"
"CUST000154","55+","Female","MD","USA","97","First Time","Festival Website"
"CUST000155","55+","Non-Binary","NJ","USA","112","Second Time","Dice"
"CUST000156","35-44","Female","MD","USA","138","First Time","Dice"
"CUST000157","35-44","Prefer not to say","NC","USA","333","Second Time","Dice"
"CUST000158","35-44","Female","NY","USA","280","Second Time","Eventbrite"
"CUST000159","18-24","Non-Binary","VA","USA","287","Returning (3+)","Ticketmaster"
"CUST000160","55+","Non-Binary","CT","USA","336","Second Time","SeatGeek"
"CUST000161","35-44","Male","MD","USA","141","Second Time","Eventbrite"
"CUST000162","35-44","Non-Binary","GA","USA","735","Second Time","Ticketmaster"
"CUST000163","18-24","Non-Binary","SC","USA","643","First Time","Eventbrite"
"CUST000164","45-54","Prefer not to say","FL","USA","1194","Returning (3+)","Ticketmaster"
"CUST000165","45-54","Prefer not to say","MI","USA","545","Second Time","StubHub"
"CUST000166","55+","Non-Binary","NJ","USA","205","Second Time","Ticketmaster"
"CUST000167","45-54","Female","PA","USA","6","First Time","Dice"
"CUST000168","55+","Female","GA","USA","712","Second Time","Dice"
"CUST000169","35-44","Prefer not to say","FL","USA","1128","Second Time","StubHub"
"CUST000170","18-24","Non-Binary","RI","USA","303","First Time","Festival Website"
"CUST000171","25-34","Female","PA","USA","67","Returning (3+)","Ticketmaster"
"CUST000172","25-34","Male","OH","USA","331","Returning (3+)","Ticketmaster"
"CUST000173","45-54","Prefer not to say","NY","USA","163","Second Time","Eventbrite"
"CUST000174","55+","Non-Binary","MI","USA","518","First Time","Dice"
"CUST000175","45-54","Male","CA","USA","2720","Returning (3+)","Dice"
"CUST000176","45-54","Prefer not to say","TX","USA","1590","Second Time","Festival Website"
"CUST000177","18-24","Male","DE","USA","140","First Time","Ticketmaster"
"CUST000178","25-34","Non-Binary","FL","USA","1180","Returning (3+)","Festival Website"
"CUST000179","25-34","Male","MD","USA","66","First Time","Festival Website"
"CUST000180","55+","Female","MA","USA","397","First Time","Dice"
"CUST000181","18-24","Female","TX","USA","1601","Returning (3+)","Eventbrite"
"CUST000182","25-34","Male","MA","USA","325","Second Time","StubHub"
"CUST000183","18-24","Non-Binary","SC","USA","537","Returning (3+)","StubHub"
"CUST000184","45-54","Female","MI","USA","488","First Time","Ticketmaster"
"CUST000185","55+","Male","PA","USA","150","Returning (3+)","Ticketmaster"
"CUST000186","35-44","Female","NJ","USA","195","Returning (3+)","Eventbrite"
"CUST000187","55+","Male","MA","USA","373","Second Time","SeatGeek"
"CUST000188","25-34","Male","CT","USA","278","Second Time","StubHub"
"CUST000189","55+","Prefer not to say","CA","USA","2816","First Time","SeatGeek"
"CUST000190","18-24","Female","IL","USA","687","Second Time","Festival Website"
"CUST000191","55+","Male","MD","USA","108","Second Time","StubHub"
"CUST000192","25-34","Prefer not to say","NY","USA","245","First Time","SeatGeek"
"CUST000193","35-44","Female","NJ","USA","201","Second Time","Ticketmaster"
"CUST000194","45-54","Non-Binary","MA","USA","314","Returning (3+)","StubHub"
"CUST000195","45-54","Non-Binary","NC","USA","323","Returning (3+)","Dice"
"CUST000196","25-34","Non-Binary","TX","USA","1733","First Time","Ticketmaster"
"CUST000197","25-34","Female","TX","USA","1472","Returning (3+)","Dice"
"CUST000198","55+","Prefer not to say","CA","USA","2522","Returning (3+)","Eventbrite"
"CUST000199","35-44","Prefer not to say","MI","USA","463","Returning (3+)","SeatGeek"
"CUST000200","25-34","Non-Binary","NY","USA","298","First Time","Eventbrite"
"CUST000201","35-44","Male","NJ","USA","187","Second Time","Dice"
"CUST000202","55+","Male","NC","USA","437","Second Time","SeatGeek"
"CUST000203","25-34","Male","OH","USA","333","Second Time","StubHub"
"CUST000204","55+","Prefer not to say","PA","USA","144","First Time","Ticketmaster"
"CUST000205","18-24","Female","MI","USA","471","Second Time","Festival Website"
"CUST000206","55+","Male","NY","USA","189","Second Time","Eventbrite"
"CUST000207","35-44","Non-Binary","IL","USA","664","Returning (3+)","Eventbrite"
"CUST000208","25-34","Prefer not to say","MI","USA","491","Returning (3+)","SeatGeek"
"CUST000209","35-44","Non-Binary","TX","USA","1796","Second Time","StubHub"
"CUST000210","45-54","Male","SC","USA","534","Returning (3+)","SeatGeek"
"CUST000211","55+","Prefer not to say","CA","USA","2926","First Time","StubHub"
"CUST000212","45-54","Non-Binary","NJ","USA","197","Second Time","SeatGeek"
"CUST000213","25-34","Non-Binary","PA","USA","75","First Time","Dice"
"CUST000214","25-34","Non-Binary","GA","USA","751","First Time","Ticketmaster"
"CUST000215","18-24","Prefer not to say","IL","USA","603","Returning (3+)","Festival Website"
"CUST000216","25-34","Prefer not to say","MD","USA","197","First Time","Festival Website"
"CUST000217","18-24","Prefer not to say","OH","USA","309","Second Time","StubHub"
"CUST000218","55+","Prefer not to say","NY","USA","167","Returning (3+)","SeatGeek"
"CUST000219","18-24","Prefer not to say","NJ","USA","142","Returning (3+)","StubHub"
"CUST000220","55+","Prefer not to say","GA","USA","719","First Time","SeatGeek"
"CUST000221","35-44","Non-Binary","GA","USA","615","First Time","Eventbrite"
"CUST000222","45-54","Female","NJ","USA","167","Second Time","SeatGeek"
"CUST000223","45-54","Male","MD","USA","183","Second Time","Festival Website"
"CUST000224","45-54","Female","PA","USA","109","Returning (3+)","Eventbrite"
"CUST000225","25-34","Prefer not to say","PA","USA","94","Returning (3+)","Eventbrite"
"CUST000226","35-44","Non-Binary","MI","USA","500","Returning (3+)","Ticketmaster"
"CUST000227","45-54","Prefer not to say","MI","USA","554","Second Time","Eventbrite"
"CUST000228","55+","Female","SC","USA","540","First Time","Festival Website"
"CUST000229","35-44","Female","SC","USA","476","Second Time","Festival Website"
"CUST000230","25-34","Male","NY","USA","291","Returning (3+)","Eventbrite"
"CUST000231","35-44","Non-Binary","RI","USA","334","First Time","Dice"
"CUST000232","55+","Prefer not to say","VA","USA","215","First Time","Ticketmaster"
"CUST000233","55+","Male","MA","USA","385","First Time","Eventbrite"
"CUST000234","35-44","Prefer not to say","PA","USA","99","Returning (3+)","Eventbrite"
"CUST000235","25-34","Male","NJ","USA","107","Second Time","Festival Website"
"CUST000236","45-54","Male","SC","USA","648","Second Time","Eventbrite"
"CUST000237","45-54","Male","NC","USA","389","First Time","SeatGeek"
"CUST000238","25-34","Female","NC","USA","422","First Time","Ticketmaster"
"CUST000239","45-54","Non-Binary","MA","USA","337","Second Time","Eventbrite"
"CUST000240","55+","Female","PA","USA","136","First Time","Dice"
"CUST000241","55+","Prefer not to say","NJ","USA","160","Returning (3+)","Dice"
"CUST000242","45-54","Female","NY","USA","220","First Time","Eventbrite"
"CUST000243","35-44","Female","MI","USA","574","Second Time","StubHub"
"CUST000244","18-24","Non-Binary","NY","USA","157","First Time","Ticketmaster"
"CUST000245","18-24","Female","DE","USA","125","First Time","Ticketmaster"
"CUST000246","55+","Prefer not to say","OH","USA","351","First Time","Festival Website"
"CUST000247","55+","Female","NY","USA","240","Second Time","StubHub"
"CUST000248","35-44","Prefer not to say","FL","USA","923","Returning (3+)","Dice"
"CUST000249","25-34","Female","FL","USA","1179","Second Time","SeatGeek"
"CUST000250","45-54","Prefer not to say","FL","USA","1102","First Time","Ticketmaster"
"CUST000251","35-44","Prefer not to say","VA","USA","223","Second Time","SeatGeek"
"CUST000252","35-44","Female","NJ","USA","173","First Time","StubHub"
"CUST000253","35-44","Prefer not to say","NC","USA","378","First Time","Ticketmaster"
"CUST000254","45-54","Prefer not to say","NY","USA","181","Returning (3+)","Dice"
"CUST000255","18-24","Male","CA","USA","2511","First Time","SeatGeek"
"CUST000256","45-54","Male","MD","USA","157","Returning (3+)","StubHub"
"CUST000257","35-44","Male","MD","USA","192","First Time","StubHub"
"CUST000258","18-24","Female","CT","USA","277","First Time","Eventbrite"
"CUST000259","25-34","Female","PA","USA","108","First Time","Eventbrite"
"CUST000260","35-44","Female","NJ","USA","130","Second Time","Dice"
"CUST000261","35-44","Prefer not to say","MA","USA","365","First Time","Festival Website"
"CUST000262","55+","Male","FL","USA","1002","First Time","Dice"
"CUST000263","25-34","Male","NC","USA","482","Second Time","Ticketmaster"
"CUST000264","55+","Female","PA","USA","134","First Time","Festival Website"
"CUST000265","18-24","Male","SC","USA","581","First Time","Festival Website"
"CUST000266","45-54","Female","PA","USA","94","First Time","Ticketmaster"
"CUST000267","25-34","Male","PA","USA","141","Second Time","Eventbrite"
"CUST000268","25-34","Non-Binary","SC","USA","506","Returning (3+)","Festival Website"
"CUST000269","18-24","Prefer not to say","NY","USA","228","Returning (3+)","Eventbrite"
"CUST000270","25-34","Non-Binary","GA","USA","779","First Time","Ticketmaster"
"CUST000271","35-44","Non-Binary","OH","USA","260","Returning (3+)","Festival Website"
"CUST000272","25-34","Non-Binary","RI","USA","300","Returning (3+)","StubHub"
"CUST000273","35-44","Prefer not to say","NJ","USA","194","First Time","Eventbrite"
"CUST000274","35-44","Male","IL","USA","604","Returning (3+)","Eventbrite"
"CUST000275","25-34","Non-Binary","NJ","USA","223","Second Time","Dice"
"CUST000276","45-54","Male","PA","USA","112","Returning (3+)","Dice"
"CUST000277","18-24","Prefer not to say","GA","USA","743","Returning (3+)","SeatGeek"
"CUST000278","25-34","Prefer not to say","RI","USA","364","Returning (3+)","Festival Website"
"CUST000279","18-24","Male","SC","USA","577","First Time","StubHub"
"CUST000280","35-44","Female","PA","USA","16","First Time","Ticketmaster"
"CUST000281","25-34","Male","MD","USA","122","Returning (3+)","SeatGeek"
"CUST000282","45-54","Prefer not to say","MD","USA","92","Returning (3+)","Ticketmaster"
"CUST000283","45-54","Non-Binary","DE","USA","161","First Time","StubHub"
"CUST000284","18-24","Male","NJ","USA","109","Second Time","Ticketmaster"
"CUST000285","25-34","Female","NC","USA","479","First Time","Ticketmaster"
"CUST000286","55+","Female","TX","USA","1520","First Time","Eventbrite"
"CUST000287","25-34","Non-Binary","NJ","USA","150","Second Time","SeatGeek"
"CUST000288","35-44","Prefer not to say","MI","USA","536","Second Time","StubHub"
"CUST000289","25-34","Prefer not to say","NY","USA","217","First Time","Festival Website"
"CUST000290","55+","Male","IL","USA","750","Second Time","StubHub"
"CUST000291","45-54","Prefer not to say","PA","USA","125","First Time","Eventbrite"
"CUST000292","18-24","Male","PA","USA","90","Returning (3+)","Festival Website"
"CUST000293","55+","Prefer not to say","TX","USA","1791","Second Time","StubHub"
"CUST000294","45-54","Prefer not to say","DE","USA","200","First Time","Eventbrite"
"CUST000295","55+","Prefer not to say","MD","USA","177","First Time","SeatGeek"
"CUST000296","55+","Male","MD","USA","197","Second Time","Dice"
"CUST000297","25-34","Female","IL","USA","770","First Time","Festival Website"
"CUST000298","25-34","Female","MI","USA","549","Second Time","StubHub"
"CUST000299","55+","Female","MA","USA","382","Second Time","Festival Website"
"CUST000300","45-54","Non-Binary","RI","USA","354","Returning (3+)","Ticketmaster"
"CUST000301","45-54","Prefer not to say","PA","USA","95","Returning (3+)","SeatGeek"
"CUST000302","55+","Prefer not to say","PA","USA","62","Second Time","Eventbrite"
"CUST000303","25-34","Non-Binary","GA","USA","712","Returning (3+)","Eventbrite"
"CUST000304","35-44","Prefer not to say","PA","USA","45","First Time","Ticketmaster"
"CUST000305","25-34","Male","IL","USA","611","First Time","Festival Website"
"CUST000306","55+","Male","PA","USA","47","First Time","Ticketmaster"
"CUST000307","25-34","Non-Binary","MD","USA","149","First Time","StubHub"
"CUST000308","55+","Prefer not to say","SC","USA","467","Second Time","Dice"
"CUST000309","45-54","Male","NC","USA","353","Second Time","Ticketmaster"
"CUST000310","18-24","Non-Binary","MD","USA","92","First Time","SeatGeek"
"CUST000311","25-34","Non-Binary","PA","USA","114","First Time","SeatGeek"
"CUST000312","55+","Prefer not to say","NC","USA","312","Second Time","StubHub"
"CUST000313","25-34","Male","VA","USA","303","First Time","Festival Website"
"CUST000314","18-24","Male","NC","USA","452","Second Time","Festival Website"
"CUST000315","18-24","Female","PA","USA","52","Returning (3+)","Ticketmaster"
"CUST000316","55+","Prefer not to say","NJ","USA","178","First Time","SeatGeek"
"CUST000317","45-54","Female","CA","USA","2816","First Time","StubHub"
"CUST000318","18-24","Male","OH","USA","267","Second Time","Eventbrite"
"CUST000319","35-44","Female","DE","USA","177","Second Time","Eventbrite"
"CUST000320","45-54","Prefer not to say","MD","USA","130","First Time","StubHub"
"CUST000321","25-34","Male","FL","USA","1100","Returning (3+)","Festival Website"
"CUST000322","35-44","Prefer not to say","NJ","USA","116","First Time","StubHub"
"CUST000323","35-44","Prefer not to say","NC","USA","342","First Time","StubHub"
"CUST000324","55+","Female","NY","USA","163","First Time","Festival Website"
"CUST000325","55+","Male","NY","USA","219","Returning (3+)","Eventbrite"
"CUST000326","25-34","Female","GA","USA","792","Second Time","Ticketmaster"
"CUST000327","45-54","Prefer not to say","OH","USA","313","First Time","Eventbrite"
"CUST000328","25-34","Non-Binary","NJ","USA","184","First Time","SeatGeek"
"CUST000329","55+","Non-Binary","PA","USA","125","Returning (3+)","Festival Website"
"CUST000330","45-54","Non-Binary","MD","USA","118","Second Time","Dice"
"CUST000331","35-44","Male","OH","USA","270","Second Time","Festival Website"
"CUST000332","35-44","Female","PA","USA","119","Returning (3+)","SeatGeek"
"CUST000333","55+","Female","NJ","USA","215","Returning (3+)","Eventbrite"
"CUST000334","45-54","Prefer not to say","CA","USA","2927","Returning (3+)","Dice"
"CUST000335","55+","Non-Binary","MD","USA","146","Second Time","Ticketmaster"
"CUST000336","25-34","Non-Binary","NY","USA","286","Returning (3+)","Festival Website"
"CUST000337","55+","Male","NY","USA","227","First Time","StubHub"
"CUST000338","45-54","Female","NJ","USA","138","Second Time","Eventbrite"
"CUST000339","25-34","Female","PA","USA","146","Returning (3+)","Ticketmaster"
"CUST000340","18-24","Non-Binary","IL","USA","707","Second Time","StubHub"
"CUST000341","25-34","Prefer not to say","MD","USA","80","Returning (3+)","Ticketmaster"
"CUST000342","25-34","Prefer not to say","PA","USA","56","Returning (3+)","Dice"
"CUST000343","18-24","Female","NY","USA","222","Returning (3+)","Festival Website"
"CUST000344","55+","Male","SC","USA","607","Returning (3+)","StubHub"
"CUST000345","18-24","Female","SC","USA","451","Returning (3+)","Festival Website"
"CUST000346","18-24","Non-Binary","PA","USA","65","Returning (3+)","SeatGeek"
"CUST000347","45-54","Male","PA","USA","128","First Time","StubHub"
"CUST000348","35-44","Non-Binary","IL","USA","686","First Time","Dice"
"CUST000349","55+","Male","NJ","USA","213","Second Time","Ticketmaster"
"CUST000350","35-44","Male","PA","USA","22","First Time","StubHub"
"CUST000351","45-54","Female","SC","USA","517","Returning (3+)","Festival Website"
"CUST000352","55+","Non-Binary","NJ","USA","212","Returning (3+)","Ticketmaster"
"CUST000353","55+","Male","VA","USA","215","Returning (3+)","Dice"
"CUST000354","25-34","Female","NY","USA","196","Returning (3+)","Eventbrite"
"CUST000355","35-44","Prefer not to say","RI","USA","331","Second Time","Festival Website"
"CUST000356","45-54","Non-Binary","NJ","USA","195","First Time","SeatGeek"
"CUST000357","18-24","Male","NJ","USA","163","First Time","Dice"
"CUST000358","18-24","Female","TX","USA","1728","Returning (3+)","StubHub"
"CUST000359","35-44","Non-Binary","IL","USA","692","Second Time","Ticketmaster"
"CUST000360","45-54","Female","NY","USA","194","Returning (3+)","Eventbrite"
"CUST000361","55+","Prefer not to say","RI","USA","330","Second Time","SeatGeek"
"CUST000362","35-44","Prefer not to say","CT","USA","306","Second Time","SeatGeek"
"CUST000363","55+","Prefer not to say","DE","USA","147","Returning (3+)","Eventbrite"
"CUST000364","25-34","Female","NC","USA","357","Second Time","SeatGeek"
"CUST000365","45-54","Male","VA","USA","279","Second Time","Eventbrite"
"CUST000366","25-34","Non-Binary","VA","USA","328","Second Time","Dice"
"CUST000367","25-34","Female","MA","USA","391","Second Time","Eventbrite"
"CUST000368","18-24","Male","PA","USA","111","First Time","Eventbrite"
"CUST000369","18-24","Non-Binary","MD","USA","189","First Time","Ticketmaster"
"CUST000370","55+","Non-Binary","OH","USA","395","Returning (3+)","Eventbrite"
"CUST000371","45-54","Female","NY","USA","228","Returning (3+)","Eventbrite"
"CUST000372","35-44","Male","DE","USA","152","Returning (3+)","SeatGeek"
"CUST000373","25-34","Non-Binary","NJ","USA","196","Second Time","SeatGeek"
"CUST000374","35-44","Female","NY","USA","183","Second Time","SeatGeek"
